2022-07-15 16:03:27,043 - utils - INFO - epoch: 3, step: 1100, eta: 00:08:13, gen loss: 4.951214790344238, adv_loss: 0, dis loss: 0
2022-07-15 16:05:56,315 - utils - INFO - epoch: 3, step: 1150, eta: 00:05:46, gen loss: 4.69655179977417, adv_loss: 0, dis loss: 0
2022-07-15 16:08:25,782 - utils - INFO - epoch: 3, step: 1200, eta: 00:03:18, gen loss: 4.404834270477295, adv_loss: 0, dis loss: 0
2022-07-15 16:10:56,690 - utils - INFO - epoch: 3, step: 1250, eta: 00:00:50, gen loss: 4.15155029296875, adv_loss: 0, dis loss: 0
2022-07-15 16:31:38,479 - utils - INFO - epoch: 3, loss: 3.9629297256469727, mae: 21.210540017270187, ssim: 0.8805271149223777, psnr: 23.991091611970578
2022-07-15 16:31:43,256 - utils - INFO - epoch: 4, step: 0, eta: 01:03:48, gen loss: 4.784297943115234, adv_loss: 0, dis loss: 0
2022-07-15 16:34:09,295 - utils - INFO - epoch: 4, step: 50, eta: 01:00:28, gen loss: 3.907024383544922, adv_loss: 0, dis loss: 0
2022-07-15 16:36:35,564 - utils - INFO - epoch: 4, step: 100, eta: 00:57:26, gen loss: 4.23826265335083, adv_loss: 0, dis loss: 0
2022-07-15 16:39:01,657 - utils - INFO - epoch: 4, step: 150, eta: 00:54:47, gen loss: 4.223631858825684, adv_loss: 0, dis loss: 0
2022-07-15 16:41:27,458 - utils - INFO - epoch: 4, step: 200, eta: 00:52:12, gen loss: 4.199969291687012, adv_loss: 0, dis loss: 0
2022-07-15 16:43:53,052 - utils - INFO - epoch: 4, step: 250, eta: 00:49:41, gen loss: 4.916268348693848, adv_loss: 0, dis loss: 0
2022-07-15 16:46:18,043 - utils - INFO - epoch: 4, step: 300, eta: 00:47:09, gen loss: 4.96229362487793, adv_loss: 0, dis loss: 0
2022-07-15 16:48:44,440 - utils - INFO - epoch: 4, step: 350, eta: 00:44:43, gen loss: 4.393890380859375, adv_loss: 0, dis loss: 0
2022-07-15 16:51:10,089 - utils - INFO - epoch: 4, step: 400, eta: 00:42:15, gen loss: 4.687795639038086, adv_loss: 0, dis loss: 0
2022-07-15 16:53:35,486 - utils - INFO - epoch: 4, step: 450, eta: 00:39:47, gen loss: 4.611810207366943, adv_loss: 0, dis loss: 0
2022-07-15 16:56:00,347 - utils - INFO - epoch: 4, step: 500, eta: 00:37:19, gen loss: 4.463985443115234, adv_loss: 0, dis loss: 0
2022-07-15 16:58:27,533 - utils - INFO - epoch: 4, step: 550, eta: 00:34:55, gen loss: 4.418834209442139, adv_loss: 0, dis loss: 0
2022-07-15 17:00:53,322 - utils - INFO - epoch: 4, step: 600, eta: 00:32:28, gen loss: 4.141214370727539, adv_loss: 0, dis loss: 0
2022-07-15 17:03:19,623 - utils - INFO - epoch: 4, step: 650, eta: 00:30:02, gen loss: 4.315489292144775, adv_loss: 0, dis loss: 0
2022-07-15 17:05:44,469 - utils - INFO - epoch: 4, step: 700, eta: 00:27:35, gen loss: 4.364954948425293, adv_loss: 0, dis loss: 0
2022-07-15 17:08:10,665 - utils - INFO - epoch: 4, step: 750, eta: 00:25:09, gen loss: 4.331507682800293, adv_loss: 0, dis loss: 0
2022-07-15 17:10:36,206 - utils - INFO - epoch: 4, step: 800, eta: 00:22:43, gen loss: 5.102432727813721, adv_loss: 0, dis loss: 0
2022-07-15 17:13:02,525 - utils - INFO - epoch: 4, step: 850, eta: 00:20:17, gen loss: 4.688580513000488, adv_loss: 0, dis loss: 0
2022-07-15 17:15:28,350 - utils - INFO - epoch: 4, step: 900, eta: 00:17:51, gen loss: 5.438941955566406, adv_loss: 0, dis loss: 0
2022-07-15 17:17:54,004 - utils - INFO - epoch: 4, step: 950, eta: 00:15:25, gen loss: 4.18608283996582, adv_loss: 0, dis loss: 0
2022-07-15 17:20:19,816 - utils - INFO - epoch: 4, step: 1000, eta: 00:12:59, gen loss: 4.399297714233398, adv_loss: 0, dis loss: 0
2022-07-15 17:22:45,938 - utils - INFO - epoch: 4, step: 1050, eta: 00:10:33, gen loss: 4.478602409362793, adv_loss: 0, dis loss: 0
2022-07-15 17:25:12,942 - utils - INFO - epoch: 4, step: 1100, eta: 00:08:07, gen loss: 4.072859764099121, adv_loss: 0, dis loss: 0
2022-07-15 17:27:37,121 - utils - INFO - epoch: 4, step: 1150, eta: 00:05:41, gen loss: 4.232221603393555, adv_loss: 0, dis loss: 0
2022-07-15 17:30:02,399 - utils - INFO - epoch: 4, step: 1200, eta: 00:03:15, gen loss: 4.2251739501953125, adv_loss: 0, dis loss: 0
2022-07-15 17:32:27,532 - utils - INFO - epoch: 4, step: 1250, eta: 00:00:49, gen loss: 5.409261703491211, adv_loss: 0, dis loss: 0
2022-07-15 17:53:43,897 - utils - INFO - epoch: 4, loss: 3.7686734199523926, mae: 20.751749433307687, ssim: 0.8861910141305032, psnr: 24.215215938338403
2022-07-15 17:53:48,537 - utils - INFO - epoch: 5, step: 0, eta: 01:00:30, gen loss: 4.295375823974609, adv_loss: 0, dis loss: 0
2022-07-15 17:56:11,138 - utils - INFO - epoch: 5, step: 50, eta: 00:59:00, gen loss: 3.9802472591400146, adv_loss: 0, dis loss: 0
2022-07-15 17:58:34,791 - utils - INFO - epoch: 5, step: 100, eta: 00:56:14, gen loss: 4.296607971191406, adv_loss: 0, dis loss: 0
2022-07-15 18:01:01,658 - utils - INFO - epoch: 5, step: 150, eta: 00:54:06, gen loss: 5.138490676879883, adv_loss: 0, dis loss: 0
2022-07-15 18:03:31,388 - utils - INFO - epoch: 5, step: 200, eta: 00:52:04, gen loss: 3.9812333583831787, adv_loss: 0, dis loss: 0
